source,relationship,target,evidence,reason
Bebop,STRONG_AGAINST,Drifter,2,[Drop the Beat] counters [Warp Shot via Projectile]. [Drop the Beat] counters [Ricochet Rhapsody via Projectile]. 
Bebop,STRONG_AGAINST,McGinnis,1,[Sound Barrier] counters [Spectral Wall via Barrier]. 
Bebop,STRONG_AGAINST,Mirage,1,[Drop the Beat] counters [Holo Shot via Projectile]. 
Bebop,STRONG_AGAINST,Paige,3,[Drop the Beat] counters [Guardian Page via Projectile]. [Sound Barrier] counters [Guardian Page via Barrier]. [Sound Barrier] counters [Final Chapter via Barrier]. 
Bebop,STRONG_AGAINST,Vindicta,1,[Drop the Beat] counters [Ballistic Volley via Projectile]. 
Bebop,STRONG_AGAINST,Viscous,1,[Sound Barrier] counters [The Cube via Barrier]. 
Bebop,STRONG_AGAINST,Vyper,1,[Sound Barrier] counters [Slither via Barrier]. 
Bebop,STRONG_AGAINST,Warden,1,[Sound Barrier] counters [Willpower via Barrier]. 
Bebop,STRONG_AGAINST,Wraith,1,[Sound Barrier] counters [Project Mind via Barrier]. 
Bebop,STRONG_AGAINST,Yamato,1,[Drop the Beat] counters [Windguard via Projectile]. 
Bebop,WEAK_AGAINST,Haze,1,[Bass Blast] is countered by [Voidstrike via Barrier]. 
Bebop,WEAK_AGAINST,Vindicta,2,[Bass Blast] is countered by [Ballistic Volley via Barrier]. [Bass Blast] is countered by [Execution Shot via Barrier]. 
Billy,EVEN_AGAINST,Calico,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Infernus,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Ivy,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Kelvin,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,McGinnis,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Mina,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Pocket,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Victor,0,No direct ability or mechanic counters found.
Billy,EVEN_AGAINST,Warden,0,No direct ability or mechanic counters found.
Billy,STRONG_AGAINST,Drifter,2,[Force Field] counters [Warp Shot via Projectile]. [Force Field] counters [Ricochet Rhapsody via Projectile]. 
Billy,STRONG_AGAINST,Mirage,1,[Force Field] counters [Holo Shot via Projectile]. 
Billy,STRONG_AGAINST,Paige,1,[Force Field] counters [Guardian Page via Projectile]. 
Billy,STRONG_AGAINST,Vindicta,1,[Force Field] counters [Ballistic Volley via Projectile]. 
Billy,STRONG_AGAINST,Yamato,1,[Force Field] counters [Windguard via Projectile]. 
Billy,WEAK_AGAINST,Abrams,2,[Bullet Storm] is countered by [Shoulder Charge via Channeling]. [Bullet Storm] is countered by [Seismic Impact via Channeling]. 
Billy,WEAK_AGAINST,Bebop,2,[Force Field] is countered by [Drop the Beat via Projectile]. [Force Field] is countered by [Sound Barrier via Barrier]. 
Billy,WEAK_AGAINST,Doorman,1,[Bullet Storm] is countered by [Luggage Cart via Channeling]. 
Billy,WEAK_AGAINST,Dynamo,2,[Bullet Storm] is countered by [Kinetic Pulse via Channeling]. [Bullet Storm] is countered by [Singularity via Channeling]. 
Billy,WEAK_AGAINST,Grey Talon,1,[Bullet Storm] is countered by [Spirit Snare via Channeling]. 
Billy,WEAK_AGAINST,Haze,1,[Force Field] is countered by [Voidstrike via Barrier]. 
Billy,WEAK_AGAINST,Holliday,1,[Portal Dive] is countered by [Crackshot via Teleport]. 
Billy,WEAK_AGAINST,Lash,1,[Portal Dive] is countered by [Grappling Whip via Teleport]. 
Billy,WEAK_AGAINST,Mo & Krill,1,[Bullet Storm] is countered by [Combo via Channeling]. 
Billy,WEAK_AGAINST,Paige,1,[Force Field] is countered by [Guardian Page via Projectile]. 
Billy,WEAK_AGAINST,Paradox,1,[Bullet Storm] is countered by [Temporal Collapse via Channeling]. 
Billy,WEAK_AGAINST,Seven,1,[Bullet Storm] is countered by [Static Charge via Channeling]. 
Billy,WEAK_AGAINST,Vindicta,2,[Force Field] is countered by [Ballistic Volley via Barrier]. [Force Field] is countered by [Execution Shot via Barrier]. 
Billy,WEAK_AGAINST,Viscous,1,[Bullet Storm] is countered by [The Cube via Damage Output Reduction]. 
Billy,WEAK_AGAINST,Vyper,1,[Bullet Storm] is countered by [Petrifying Bola via Channeling]. 
Billy,WEAK_AGAINST,Wraith,1,[Bullet Storm] is countered by [Telekinesis via Channeling]. 
Billy,WEAK_AGAINST,Yamato,2,[Force Field] is countered by [Windguard via Projectile]. [Bullet Storm] is countered by [Storm's Reach via Damage Output Reduction]. 
Calico,EVEN_AGAINST,Abrams,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Bebop,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Billy,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Doorman,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Drifter,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Dynamo,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Grey Talon,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Haze,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Ivy,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Kelvin,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,McGinnis,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Mina,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Mirage,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Mo & Krill,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Paige,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Paradox,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Seven,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Victor,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Vindicta,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Viscous,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Warden,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Wraith,0,No direct ability or mechanic counters found.
Calico,EVEN_AGAINST,Yamato,0,No direct ability or mechanic counters found.
Calico,WEAK_AGAINST,Holliday,1,[Leaping Slash] is countered by [Crackshot via Dash]. 
Calico,WEAK_AGAINST,Infernus,1,[Leaping Slash] is countered by [Fire Wells via Self Heal]. 
Calico,WEAK_AGAINST,Lash,1,[Leaping Slash] is countered by [Grappling Whip via Dash]. 
Calico,WEAK_AGAINST,Pocket,1,[Leaping Slash] is countered by [Affliction via Self Heal]. 
Calico,WEAK_AGAINST,Vyper,1,[Leaping Slash] is countered by [Lethal Venom via Self Heal]. 
Doorman,EVEN_AGAINST,Abrams,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Bebop,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Calico,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Drifter,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Grey Talon,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Haze,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Holliday,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Infernus,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Mirage,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Mo & Krill,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Pocket,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Vindicta,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Vyper,0,No direct ability or mechanic counters found.
Doorman,EVEN_AGAINST,Wraith,0,No direct ability or mechanic counters found.
Doorman,STRONG_AGAINST,Billy,1,[Luggage Cart] counters [Bullet Storm via Channeling]. 
Doorman,STRONG_AGAINST,Dynamo,1,[Luggage Cart] counters [Rejuvenating Aurora via Channeling]. 
Doorman,STRONG_AGAINST,Ivy,1,[Luggage Cart] counters [Execution Beam via Channeling]. 
Doorman,STRONG_AGAINST,Lash,1,[Luggage Cart] counters [Guillotine Frenzy via Channeling]. 
Doorman,STRONG_AGAINST,McGinnis,1,[Luggage Cart] counters [Heavy Barrage via Channeling]. 
Doorman,STRONG_AGAINST,Mina,1,[Luggage Cart] counters [Requiem via Channeling]. 
Doorman,STRONG_AGAINST,Paige,1,[Luggage Cart] counters [Final Chapter via Channeling]. 
Doorman,STRONG_AGAINST,Paradox,1,[Luggage Cart] counters [Temporal Collapse via Channeling]. 
Doorman,STRONG_AGAINST,Seven,1,[Luggage Cart] counters [Storm Cloud via Channeling]. 
Doorman,STRONG_AGAINST,Warden,1,[Luggage Cart] counters [Last Stand via Channeling]. 
Doorman,WEAK_AGAINST,Kelvin,1,[Call Bell] is countered by [Ice Path via Movement Slow]. 
Doorman,WEAK_AGAINST,Lash,1,[Call Bell] is countered by [Blood Rush via Movement Slow]. 
Doorman,WEAK_AGAINST,Paige,1,[Call Bell] is countered by [Restoration Quill via Movement Slow]. 
Doorman,WEAK_AGAINST,Paradox,1,[Call Bell] is countered by [Rewind via Movement Slow]. 
Doorman,WEAK_AGAINST,Victor,1,[Call Bell] is countered by [Jumpstart via Movement Slow]. 
Doorman,WEAK_AGAINST,Viscous,1,[Call Bell] is countered by [The Cube via Movement Slow]. 
Doorman,WEAK_AGAINST,Warden,1,[Call Bell] is countered by [Willpower via Movement Slow]. 
Doorman,WEAK_AGAINST,Yamato,1,[Call Bell] is countered by [Storm's Reach via Movement Slow]. 
Drifter,EVEN_AGAINST,Abrams,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Calico,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Doorman,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Dynamo,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Grey Talon,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Haze,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Infernus,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Kelvin,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,McGinnis,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Mina,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Mo & Krill,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Paradox,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Pocket,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Seven,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Victor,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Viscous,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Vyper,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Warden,0,No direct ability or mechanic counters found.
Drifter,EVEN_AGAINST,Wraith,0,No direct ability or mechanic counters found.
Drifter,STRONG_AGAINST,Mirage,2,[Tripwire] counters [Phase Shift via Stealth]. [Ricochet Rhapsody] counters [Phase Shift via Stealth]. 
Drifter,WEAK_AGAINST,Bebop,2,[Warp Shot] is countered by [Drop the Beat via Projectile]. [Ricochet Rhapsody] is countered by [Drop the Beat via Projectile]. 
Drifter,WEAK_AGAINST,Billy,2,[Warp Shot] is countered by [Force Field via Projectile]. [Ricochet Rhapsody] is countered by [Force Field via Projectile]. 
Drifter,WEAK_AGAINST,Holliday,1,[Smoke Hustle] is countered by [Crackshot via Dash]. 
Drifter,WEAK_AGAINST,Ivy,1,[Smoke Hustle] is countered by [Venom Trap via Stealth]. 
Drifter,WEAK_AGAINST,Lash,1,[Smoke Hustle] is countered by [Grappling Whip via Dash]. 
Drifter,WEAK_AGAINST,Mirage,2,[Smoke Hustle] is countered by [Mirror Trap via Stealth]. [Smoke Hustle] is countered by [Hall of Mirrors via Stealth]. 
Drifter,WEAK_AGAINST,Paige,2,[Warp Shot] is countered by [Guardian Page via Projectile]. [Ricochet Rhapsody] is countered by [Guardian Page via Projectile]. 
Drifter,WEAK_AGAINST,Vindicta,1,[Smoke Hustle] is countered by [Lock-On Round via Stealth]. 
Drifter,WEAK_AGAINST,Yamato,2,[Warp Shot] is countered by [Windguard via Projectile]. [Ricochet Rhapsody] is countered by [Windguard via Projectile]. 
Dynamo,EVEN_AGAINST,Bebop,0,No direct ability or mechanic counters found.
Dynamo,EVEN_AGAINST,Calico,0,No direct ability or mechanic counters found.
Dynamo,EVEN_AGAINST,Drifter,0,No direct ability or mechanic counters found.
Dynamo,EVEN_AGAINST,Haze,0,No direct ability or mechanic counters found.
Dynamo,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Dynamo,EVEN_AGAINST,Mirage,0,No direct ability or mechanic counters found.
Dynamo,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Dynamo,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Dynamo,EVEN_AGAINST,Vindicta,0,No direct ability or mechanic counters found.
Dynamo,STRONG_AGAINST,Billy,2,[Kinetic Pulse] counters [Bullet Storm via Channeling]. [Singularity] counters [Bullet Storm via Channeling]. 
Dynamo,STRONG_AGAINST,Ivy,2,[Kinetic Pulse] counters [Execution Beam via Channeling]. [Singularity] counters [Execution Beam via Channeling]. 
Dynamo,STRONG_AGAINST,Lash,2,[Kinetic Pulse] counters [Guillotine Frenzy via Channeling]. [Singularity] counters [Guillotine Frenzy via Channeling]. 
Dynamo,STRONG_AGAINST,McGinnis,2,[Kinetic Pulse] counters [Heavy Barrage via Channeling]. [Singularity] counters [Heavy Barrage via Channeling]. 
Dynamo,STRONG_AGAINST,Mina,2,[Kinetic Pulse] counters [Requiem via Channeling]. [Singularity] counters [Requiem via Channeling]. 
Dynamo,STRONG_AGAINST,Paige,2,[Kinetic Pulse] counters [Final Chapter via Channeling]. [Singularity] counters [Final Chapter via Channeling]. 
Dynamo,STRONG_AGAINST,Paradox,2,[Kinetic Pulse] counters [Temporal Collapse via Channeling]. [Singularity] counters [Temporal Collapse via Channeling]. 
Dynamo,STRONG_AGAINST,Seven,2,[Kinetic Pulse] counters [Storm Cloud via Channeling]. [Singularity] counters [Storm Cloud via Channeling]. 
Dynamo,STRONG_AGAINST,Warden,2,[Kinetic Pulse] counters [Last Stand via Channeling]. [Singularity] counters [Last Stand via Channeling]. 
Dynamo,WEAK_AGAINST,Abrams,2,[Rejuvenating Aurora] is countered by [Shoulder Charge via Channeling]. [Rejuvenating Aurora] is countered by [Seismic Impact via Channeling]. 
Dynamo,WEAK_AGAINST,Doorman,1,[Rejuvenating Aurora] is countered by [Luggage Cart via Channeling]. 
Dynamo,WEAK_AGAINST,Grey Talon,1,[Rejuvenating Aurora] is countered by [Spirit Snare via Channeling]. 
Dynamo,WEAK_AGAINST,Holliday,1,[Quantum Entanglement] is countered by [Crackshot via Teleport]. 
Dynamo,WEAK_AGAINST,Infernus,1,[Rejuvenating Aurora] is countered by [Fire Wells via Area Heal]. 
Dynamo,WEAK_AGAINST,Kelvin,1,[Kinetic Pulse] is countered by [Ice Path via Movement Slow]. 
Dynamo,WEAK_AGAINST,Lash,2,[Quantum Entanglement] is countered by [Grappling Whip via Teleport]. [Kinetic Pulse] is countered by [Blood Rush via Movement Slow]. 
Dynamo,WEAK_AGAINST,Mo & Krill,1,[Rejuvenating Aurora] is countered by [Combo via Channeling]. 
Dynamo,WEAK_AGAINST,Paige,1,[Kinetic Pulse] is countered by [Restoration Quill via Movement Slow]. 
Dynamo,WEAK_AGAINST,Paradox,2,[Kinetic Pulse] is countered by [Rewind via Movement Slow]. [Rejuvenating Aurora] is countered by [Temporal Collapse via Channeling]. 
Dynamo,WEAK_AGAINST,Pocket,1,[Rejuvenating Aurora] is countered by [Affliction via Area Heal]. 
Dynamo,WEAK_AGAINST,Seven,1,[Rejuvenating Aurora] is countered by [Static Charge via Channeling]. 
Dynamo,WEAK_AGAINST,Victor,1,[Kinetic Pulse] is countered by [Jumpstart via Movement Slow]. 
Dynamo,WEAK_AGAINST,Viscous,1,[Kinetic Pulse] is countered by [The Cube via Movement Slow]. 
Dynamo,WEAK_AGAINST,Vyper,2,[Rejuvenating Aurora] is countered by [Petrifying Bola via Channeling]. [Rejuvenating Aurora] is countered by [Lethal Venom via Area Heal]. 
Dynamo,WEAK_AGAINST,Warden,1,[Kinetic Pulse] is countered by [Willpower via Movement Slow]. 
Dynamo,WEAK_AGAINST,Wraith,1,[Rejuvenating Aurora] is countered by [Telekinesis via Channeling]. 
Dynamo,WEAK_AGAINST,Yamato,1,[Kinetic Pulse] is countered by [Storm's Reach via Movement Slow]. 
Grey Talon,EVEN_AGAINST,Abrams,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Bebop,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Calico,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Doorman,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Drifter,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Haze,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Holliday,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Infernus,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Mirage,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Mo & Krill,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Pocket,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Vindicta,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Vyper,0,No direct ability or mechanic counters found.
Grey Talon,EVEN_AGAINST,Wraith,0,No direct ability or mechanic counters found.
Grey Talon,STRONG_AGAINST,Billy,1,[Spirit Snare] counters [Bullet Storm via Channeling]. 
Grey Talon,STRONG_AGAINST,Dynamo,1,[Spirit Snare] counters [Rejuvenating Aurora via Channeling]. 
Grey Talon,STRONG_AGAINST,Ivy,1,[Spirit Snare] counters [Execution Beam via Channeling]. 
Grey Talon,STRONG_AGAINST,Lash,1,[Spirit Snare] counters [Guillotine Frenzy via Channeling]. 
Grey Talon,STRONG_AGAINST,McGinnis,1,[Spirit Snare] counters [Heavy Barrage via Channeling]. 
Grey Talon,STRONG_AGAINST,Mina,1,[Spirit Snare] counters [Requiem via Channeling]. 
Grey Talon,STRONG_AGAINST,Paige,1,[Spirit Snare] counters [Final Chapter via Channeling]. 
Grey Talon,STRONG_AGAINST,Paradox,1,[Spirit Snare] counters [Temporal Collapse via Channeling]. 
Grey Talon,STRONG_AGAINST,Seven,1,[Spirit Snare] counters [Storm Cloud via Channeling]. 
Grey Talon,STRONG_AGAINST,Warden,1,[Spirit Snare] counters [Last Stand via Channeling]. 
Grey Talon,WEAK_AGAINST,Kelvin,1,[Rain of Arrows] is countered by [Ice Path via Movement Slow]. 
Grey Talon,WEAK_AGAINST,Lash,1,[Rain of Arrows] is countered by [Blood Rush via Movement Slow]. 
Grey Talon,WEAK_AGAINST,Paige,1,[Rain of Arrows] is countered by [Restoration Quill via Movement Slow]. 
Grey Talon,WEAK_AGAINST,Paradox,1,[Rain of Arrows] is countered by [Rewind via Movement Slow]. 
Grey Talon,WEAK_AGAINST,Victor,1,[Rain of Arrows] is countered by [Jumpstart via Movement Slow]. 
Grey Talon,WEAK_AGAINST,Viscous,1,[Rain of Arrows] is countered by [The Cube via Movement Slow]. 
Grey Talon,WEAK_AGAINST,Warden,1,[Rain of Arrows] is countered by [Willpower via Movement Slow]. 
Grey Talon,WEAK_AGAINST,Yamato,1,[Rain of Arrows] is countered by [Storm's Reach via Movement Slow]. 
Haze,EVEN_AGAINST,Abrams,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Calico,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Doorman,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Drifter,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Dynamo,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Grey Talon,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Infernus,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Ivy,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Mina,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Mirage,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Mo & Krill,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Pocket,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Seven,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Haze,EVEN_AGAINST,Vindicta,0,No direct ability or mechanic counters found.
Haze,STRONG_AGAINST,Bebop,1,[Voidstrike] counters [Bass Blast via Barrier]. 
Haze,STRONG_AGAINST,Billy,1,[Voidstrike] counters [Force Field via Barrier]. 
Haze,STRONG_AGAINST,McGinnis,1,[Voidstrike] counters [Spectral Wall via Barrier]. 
